,0
32965,8
43117,2
32701,6
18102,0
56399,6
17687,7
64464,6
60016,9
9366,5
68001,9
24545,7
57457,3
41080,2
68508,3
2721,2
3740,3
6231,2
28977,2
242,3
39006,2
50402,6
13221,3
37736,4
35170,3
29099,7
58225,4
67532,6
62374,2
21900,6
604,1
63769,3
24237,6
1181,1
67243,9
26142,1
31534,1
21744,1
35882,2
16420,7
57574,2
31623,6
4780,4
12619,8
64556,9
22833,1
69365,3
1955,5
39226,6
17252,6
12653,0
44752,5
24294,3
57559,4
55474,3
48098,7
32378,1
26546,4
34526,3
8784,2
43608,4
52500,9
26113,5
67764,4
21394,1
54016,3
26664,8
52212,6
48005,6
35968,6
52150,6
24445,0
13667,2
38777,4
23825,5
6239,6
14541,1
27817,9
42223,2
46578,9
43893,7
27187,1
152,1
46055,7
67390,7
58968,9
35407,3
10592,8
4955,2
10311,4
66977,5
67637,2
55317,1
64377,4
3035,0
12871,2
14486,5
52281,3
15404,6
38463,1
1256,9
67125,4
28456,0
54539,6
15681,3
17652,6
34423,1
48451,6
23432,4
34041,5
39050,0
36779,9
58802,5
42334,5
67403,5
25742,6
28438,6
69435,1
17080,2
38657,3
35799,5
28510,0
58646,5
22370,1
54457,2
55955,1
24165,6
35965,7
16397,4
13695,9
4634,8
43456,3
8238,9
65893,1
38716,4
55576,0
55066,6
51220,6
7920,2
60702,7
45863,6
55513,5
11189,6
45339,4
46187,3
29186,7
28996,4
68267,9
13451,4
53216,9
13263,4
17098,6
56015,6
34,0
62582,9
41255,2
33694,3
69672,4
67736,9
50167,2
14233,5
57560,7
13956,1
50585,1
59641,2
49421,2
65383,6
756,8
67946,3
33982,2
68652,5
9206,6
65664,4
68803,5
34873,3
14636,3
46243,9
68477,9
56682,2
65561,4
60810,7
12426,2
23783,5
43323,1
62972,0
41372,1
9769,8
47558,4
54775,1
4733,2
31888,9
66247,9
10636,4
68694,3
59229,3
12465,4
39380,5
14592,4
32051,9
53244,5
13257,2
63002,8
55395,8
59934,0
9313,0
25670,4
50863,6
47301,5
29085,2
6892,3
140,7
66462,2
15252,1
44609,3
2312,9
8537,3
35443,2
52637,2
4484,1
50039,6
2481,3
27958,8
59485,8
48518,1
27595,6
12593,3
26731,0
53988,4
37510,0
68499,6
44468,3
12005,6
62880,1
28150,6
24418,2
45288,0
49620,8
40238,4
66705,4
26584,6
23309,7
14050,2
6059,3
51317,2
51916,7
32288,2
32472,1
5592,9
11867,1
61735,4
17547,8
25400,8
58482,4
37433,1
59463,6
33111,0
33199,9
52521,1
37969,2
30667,1
37746,3
47749,3
27879,1
5986,7
7726,4
44500,7
17030,1
41639,3
25718,2
54284,0
62301,7
68560,2
66467,8
27168,7
15713,1
36315,1
55460,5
35869,3
65270,0
44707,2
54069,9
55540,2
3697,4
4421,7
51204,7
51124,5
61127,3
13077,0
25148,2
62910,2
40348,1
8713,5
26479,1
10926,1
39308,8
16618,0
2825,7
50174,9
12894,9
15207,4
17003,0
31458,4
59851,7
60299,8
28076,0
25026,7
56454,0
59352,3
66995,4
64482,2
35125,9
68198,2
38462,1
20624,2
56284,8
10130,2
11515,9
58907,7
68076,9
42363,7
40703,4
30051,0
64910,9
13032,9
54206,6
33465,0
45352,9
66701,0
13461,9
58320,1
29640,2
3511,9
36626,1
12824,1
5921,0
62690,3
67694,8
30357,7
37464,3
50647,1
60761,8
27764,5
22035,6
46773,9
15623,8
19917,1
52391,7
18457,5
14564,0
5832,6
4645,5
21373,6
49905,5
14164,9
47489,9
15878,1
35346,3
37128,4
48749,6
2508,2
66045,3
15075,3
16349,6
9499,7
29879,4
15593,9
7723,4
85,8
40669,5
35675,7
31038,1
62171,1
21619,4
51704,7
40979,6
24912,4
54644,7
55325,5
45446,7
5389,8
44461,5
13819,7
62529,1
14543,5
2098,3
33811,5
65216,2
32139,4
67835,0
69412,4
46183,0
26389,0
28595,8
16812,2
68311,6
30537,9
11208,9
10520,3
24185,9
49929,2
53580,8
68072,5
57170,1
42779,4
32485,2
68522,8
1731,6
15983,7
14295,2
9232,5
3805,7
7007,1
60470,8
7681,8
65757,9
53882,9
39594,1
19976,3
39577,6
34044,9
11856,2
49667,1
1840,4
25253,1
20777,5
66938,1
9350,1
37758,0
29645,4
53405,1
10617,6
11041,0
45492,7
32724,5
895,3
22351,7
23307,4
25111,5
18629,8
2230,3
41793,6
24108,8
40900,2
34926,1
39837,6
14273,2
29051,7
69918,9
5275,0
58631,7
28519,0
47939,3
54602,6
49934,4
58116,0
6735,5
18729,7
8451,1
53310,1
48913,1
15030,2
8960,2
55037,4
19345,2
43820,5
28017,1
30772,2
35151,5
12066,8
43161,6
18967,8
54072,7
9685,3
36346,4
57451,0
34278,7
14431,3
4863,7
68817,9
50380,7
30425,0
20573,9
43689,2
58220,8
69807,8
3968,8
15177,6
61677,5
46948,5
63617,6
10474,7
4035,4
50480,0
32361,2
15537,2
38113,5
5276,9
46883,8
3248,0
198,3
64214,7
39542,1
2375,1
27336,1
30622,5
63923,6
33625,9
7264,9
57088,5
15725,9
29688,4
52843,9
66221,9
55586,8
4706,2
44193,3
12541,6
62179,8
61856,3
35347,2
36207,5
2233,3
62967,7
40624,5
33658,1
24316,4
58291,6
22565,5
25910,1
62962,0
54286,2
17863,6
13653,4
61027,1
4914,2
65979,4
15606,3
37151,2
2814,7
40506,7
33315,7
37070,5
38306,6
36348,9
54359,4
8477,4
66926,6
7040,1
68550,2
49579,8
30991,5
64351,0
38667,2
69080,0
7696,1
51732,8
14077,9
64761,9
32008,2
5923,3
55024,4
5920,6
52570,9
42250,0
51388,3
37182,1
19745,6
51904,8
45030,6
46680,0
9988,7
40127,5
12883,1
34913,5
69430,3
37868,8
52855,4
20938,8
15607,9
20627,1
11960,3
51794,5
37791,5
43686,7
341,3
35789,9
17606,0
5324,4
58564,3
50858,4
32810,0
13431,6
19400,1
38896,5
66337,2
25000,3
67824,6
2517,2
35542,3
56506,1
33975,6
16431,4
1851,7
38906,4
61641,5
15127,7
53284,2
59409,9
64369,9
7335,9
11048,6
28791,7
25312,0
67940,7
23961,2
22815,1
28252,3
67254,9
29922,4
9506,0
15655,5
20367,6
61795,2
32029,9
46938,7
17805,2
47677,7
10968,6
17987,0
31883,4
42297,8
25520,6
37037,6
11746,0
17901,3
55806,0
63654,5
65290,0
45031,3
45879,9
40501,6
32067,9
50052,2
44404,5
35261,0
63853,6
56646,4
51619,6
69016,0
67496,9
16735,1
36488,3
3609,3
45979,3
64203,6
23329,9
18142,7
53409,1
25799,8
37773,9
66275,8
42799,2
24056,5
35293,4
10307,6
46273,0
21324,2
32946,0
22181,7
50412,3
1090,0
29311,0
51350,4
65420,5
5358,3
8264,3
33271,7
45887,6
22220,7
20088,0
61538,2
29615,1
62126,2
4285,7
69115,3
62201,4
1483,1
69681,8
17224,5
22425,6
57524,4
64289,2
22811,2
58389,3
14672,5
44988,1
44385,3
33203,2
57182,5
66466,2
35717,0
31867,6
13171,8
36150,7
8406,3
892,6
9942,1
43886,7
7520,2
52238,0
23529,4
67936,3
26397,8
45062,9
43293,2
51289,9
59695,9
60352,5
54474,0
4729,0
63058,6
16156,3
63349,7
24179,6
50014,4
60882,9
29576,8
34893,3
10815,7
65628,3
51309,4
31687,5
58973,0
66111,2
64792,8
16437,7
67916,1
173,5
32671,5
48149,8
58357,5
58377,1
10065,5
10430,3
44335,0
62509,4
11597,0
60676,7
42047,5
36831,1
29363,7
35038,8
56357,8
68259,9
31537,1
3168,8
62695,7
11910,3
24606,1
64950,2
69610,9
10791,5
43580,8
49543,8
44081,9
17067,4
54077,3
57011,4
42555,5
7328,8
56457,3
54854,2
64495,0
17567,5
30176,1
10380,0
58406,3
10639,4
12964,6
5370,3
7650,1
7969,0
19599,4
15145,6
29325,7
23602,8
46373,9
34717,2
16129,5
24370,8
33574,4
32410,9
52456,2
680,4
9205,5
11501,0
45974,1
54519,2
20484,4
50360,7
65425,7
22910,0
46071,9
20198,8
61203,0
47336,4
69392,6
29280,8
54700,3
30069,9
15818,7
43993,8
46204,1
37572,3
65818,0
61308,9
54677,9
54453,7
39719,2
66185,4
40509,1
51748,2
42731,1
32775,3
36095,1
15102,8
26412,3
12260,3
48229,1
37975,4
60608,0
48433,6
27217,6
20628,5
10646,9
20510,0
30512,1
39684,1
34380,6
37456,8
17163,7
37399,7
2556,6
9234,8
40717,6
26473,1
67688,0
52166,7
34302,0
40760,0
4048,5
27652,2
26313,5
19161,4
57749,1
14775,0
2110,1
651,7
2266,5
42983,5
60567,0
34972,7
62500,2
10147,7
36314,4
54667,9
67505,0
67877,7
28526,8
67793,5
6454,4
29349,9
59270,8
31789,2
45822,3
35300,8
44672,2
43647,8
20776,4
32073,8
46968,5
6262,1
8773,3
39053,7
8075,3
28116,5
12848,8
44395,2
41376,0
30356,2
38490,1
28119,3
15308,1
40001,7
45911,3
30323,5
28934,6
27645,3
4805,2
33238,0
52549,2
21463,7
8184,3
34410,7
12421,0
1670,5
64726,8
23292,7
53635,7
44156,7
52752,7
19263,3
52382,1
46406,3
62599,1
24427,2
66904,8
15988,8
58407,9
36500,9
5784,7
22177,2
54523,6
50778,5
26750,7
42190,6
11405,1
12052,4
4584,3
13363,4
44802,5
7417,4
17814,6
37023,1
37700,3
65637,1
25578,7
60729,6
19176,1
62951,5
15914,6
11262,1
59999,8
16022,8
55036,1
38004,7
52423,7
62063,7
41673,5
8038,7
43301,3
2729,0
18779,0
44581,4
68417,7
20007,2
10396,4
47408,2
18572,0
53849,1
47743,2
24684,9
4144,2
28958,2
61939,1
11784,6
381,2
61336,2
69756,6
41697,7
34466,6
52458,5
48112,1
32504,9
12462,6
33029,3
40371,9
62371,4
64577,5
14858,1
35090,2
26805,8
33417,1
67442,1
32428,7
24650,5
65053,2
4506,3
58856,8
67686,1
35778,0
58201,8
2946,5
46139,0
32190,7
32381,6
33129,9
33078,0
37741,1
43313,7
745,0
11250,2
44448,0
26132,4
61686,8
19243,1
16701,2
27611,9
22362,0
43644,3
18863,1
18571,4
43322,8
44667,5
22802,5
31905,2
64506,2
10032,6
23662,0
2894,1
56545,6
26821,2
58499,9
38147,4
28246,1
35729,6
47903,8
33141,9
10958,5
30452,9
29447,1
53755,3
50441,2
61562,8
41712,8
29380,6
40468,1
54995,7
64475,4
66544,5
3095,9
65372,7
64125,6
28649,1
42444,0
58387,1
56269,5
5297,2
29557,3
67073,1
49343,5
32489,0
27479,9
38466,1
37212,7
21022,4
28861,3
69786,5
67459,9
13931,3
29342,8
12535,9
4233,3
15811,7
385,2
66043,5
62267,6
31429,2
23541,0
29783,7
39342,2
64319,9
6583,8
4251,6
63425,7
4828,6
60785,5
40858,3
59078,0
27966,9
59303,8
54822,0
21757,9
32508,2
58048,3
48267,0
14615,1
9724,7
16794,2
16680,4
66920,2
17315,2
61674,1
23839,6
9214,7
30621,8
60152,5
66331,3
67438,6
48906,8
13787,3
16330,9
54456,2
50496,2
41392,1
30713,7
62295,0
61591,3
69367,0
27859,0
32405,2
27124,1
15949,5
3653,9
10409,1
37173,6
39571,9
43685,0
16194,7
63629,8
37593,9
4783,3
27616,8
10399,1
65938,6
35240,2
15384,6
46574,2
51604,4
5525,0
65634,2
926,4
38232,0
24847,5
51882,1
36841,6
15825,0
28591,6
27815,9
68073,6
40796,1
67167,1
49309,4
30862,8
25116,3
43435,3
4822,4
49068,1
37652,3
9738,5
40729,7
64385,2
34669,8
20512,6
62,6
26967,7
62143,7
64634,8
65793,6
48120,4
66339,7
58249,3
8331,1
67431,3
55604,8
3011,8
53538,5
43992,9
56177,6
36780,0
39195,9
22536,3
32884,8
32013,3
24803,2
44759,8
2191,0
2055,7
6144,2
50123,0
68222,4
10064,8
22610,9
52935,4
18949,5
60097,7
44418,1
2873,0
26134,5
52341,9
6252,2
5268,0
51669,0
6556,4
27991,6
39210,2
40070,7
65359,3
51581,9
26266,7
26856,5
39493,5
39118,2
17904,3
47724,3
26893,8
2296,6
47844,7
16796,6
64455,8
6942,8
68384,8
27329,1
33705,1
10821,0
63938,4
18273,0
45239,3
15602,9
8939,2
43058,9
33197,2
48001,7
15695,0
50498,1
48769,5
65431,1
33347,4
46208,3
22819,5
69134,0
40356,6
51826,0
57694,2
33812,6
31919,9
57208,4
26554,3
6935,0
21218,9
68835,5
67446,0
7505,9
30389,1
34587,3
17930,0
68431,9
30703,8
46348,8
25371,9
29209,6
7866,7
11941,6
19828,6
54820,6
45314,7
19655,3
58902,4
47798,6
69705,1
44618,9
20364,8
58421,3
15639,3
42762,5
68524,8
2601,2
57779,4
22860,0
12628,7
10539,9
23176,1
60274,9
48133,6
69788,7
64727,3
52352,8
2357,2
31573,9
15719,4
17367,1
532,8
26351,8
58691,1
53725,7
39780,5
14069,5
32914,1
6912,3
30745,4
40062,4
33278,8
21794,1
4579,3
47425,8
28673,1
67557,9
17312,5
98,3
37936,1
44664,5
10552,6
3180,5
12428,7
28574,9
22022,7
471,9
56763,4
15118,5
30685,6
8081,4
31906,8
25129,1
29449,2
41442,6
35049,3
34443,2
26079,8
68263,3
33955,4
930,9
65931,2
6779,9
4985,0
6698,1
31907,6
16537,7
14041,1
39923,5
62518,5
23962,3
1957,6
18806,1
46463,2
41200,8
41357,0
38916,7
57736,8
1361,2
46775,0
24345,0
68772,0
30799,6
47652,2
1654,1
69078,8
53041,1
61776,7
17808,8
49373,4
23749,1
60959,4
23473,1
18647,1
15614,2
49659,6
69038,0
33468,3
34883,8
38899,9
8485,8
10732,0
55593,0
44606,0
39639,0
15200,7
12831,8
38627,3
27558,1
67237,2
5348,8
16644,7
28178,5
59928,6
40294,1
22297,0
65821,5
10689,0
52620,6
37831,6
27227,4
47528,5
293,0
39875,4
43156,4
46405,8
43127,5
25984,8
26541,2
62314,7
55764,8
33022,3
53892,6
8470,2
58518,8
41325,7
57139,2
57140,6
20980,7
45762,9
59878,0
30787,0
38722,0
18716,6
5080,3
31918,9
2767,1
21911,2
23672,3
55219,6
34021,5
44123,8
64796,3
26910,1
26869,4
29252,4
60224,1
19681,6
69707,3
60124,7
28739,8
40336,0
48338,6
12739,9
12566,5
42494,1
32058,6
62284,3
11893,4
3249,7
19234,3
40859,0
34408,2
58102,0
23971,0
25841,7
16274,8
53323,2
41031,1
23352,7
19016,3
54066,7
33423,7
199,2
44060,0
19848,6
28492,4
60267,1
40311,7
19206,6
1720,9
46498,4
10506,5
26121,2
40331,6
47413,4
27578,1
51851,3
19428,9
816,6
55708,5
27194,7
40353,5
17201,5
18486,0
39751,8
40219,1
34906,3
69308,3
65448,4
67264,5
10820,9
65828,0
45832,2
62356,1
49196,4
37054,3
36842,0
37542,6
13556,1
16159,1
69888,6
43520,7
34251,0
43101,2
10508,1
29789,2
10075,2
21201,1
23568,5
31396,7
24347,2
29005,2
37774,8
32248,5
55946,8
54964,7
38039,1
26602,7
31662,2
47809,7
23026,2
4816,9
54320,0
1639,7
61477,7
46651,9
46112,4
33816,4
21720,3
30710,2
39297,1
1977,1
16189,7
68026,3
2702,9
47970,3
44975,7
45120,9
1434,8
12708,9
23836,5
48911,0
29951,7
31151,5
48815,0
28117,7
65482,7
63564,6
1215,4
66808,0
35566,6
21279,0
11459,4
37581,6
44136,1
40942,8
12680,1
68419,3
14976,4
13371,0
45962,1
40755,9
54506,1
62829,5
38415,1
34200,7
11815,4
16516,0
24153,9
9539,5
45611,4
30046,5
21847,1
50279,5
48383,2
51091,3
9441,0
67178,5
31338,2
58093,6
20882,2
54890,7
51922,2
16599,6
4031,2
28983,3
6420,3
47426,3
26789,1
22535,4
13184,0
50034,6
16247,7
42884,9
61505,7
7442,4
60887,3
10036,6
29976,1
67184,2
69626,5
2960,3
17113,7
6509,6
5016,2
15585,2
65302,5
48459,0
59810,5
63552,5
32310,4
41597,7
40492,6
42897,7
12613,6
62080,3
67797,5
60622,4
66172,9
67819,5
12954,2
18813,9
60176,1
28796,3
64520,5
2323,4
42035,9
2658,7
59075,9
17895,2
54952,3
14871,7
65064,7
34453,5
49189,2
10476,2
53317,9
45458,8
45535,7
40333,2
47446,1
64666,2
35252,1
9519,7
43572,6
9806,0
39788,0
35910,6
38707,1
15191,0
32732,9
27902,9
61760,1
60489,1
36588,5
11032,2
4704,5
45705,2
29861,9
61089,5
59153,1
37733,7
24841,2
57886,3
17724,7
14712,0
55631,0
60149,2
905,1
13624,2
14731,6
59712,0
56820,3
23334,7
43234,8
28081,4
55840,0
41102,9
22023,0
59363,0
2173,7
13626,8
51392,5
62980,6
6599,9
25773,0
56535,3
21339,4
65952,0
18848,6
7528,2
41333,1
48935,3
25359,5
13586,2
57928,2
44245,1
30689,6
32598,5
28681,1
3030,9
31917,9
63057,2
50434,0
49533,0
21641,7
30923,0
17095,0
63848,7
50036,0
59168,3
30191,2
53298,0
35586,1
47043,2
49041,2
52876,4
38008,0
33515,7
67030,7
67052,0
67670,6
25915,3
57076,4
57080,8
35998,7
6905,8
56032,5
66427,4
61836,1
49412,7
24876,2
1863,3
39847,7
25524,1
9064,5
37530,4
24471,4
49391,7
59657,4
55035,3
8368,0
56318,0
56525,8
10600,6
52723,2
66529,4
59944,0
5687,3
2279,5
46684,6
68517,6
61984,2
48052,6
56062,9
51120,1
69036,7
1819,0
65737,0
8145,6
13605,8
69811,2
6981,5
40,1
48277,2
13619,5
43055,5
58904,6
55640,3
20787,1
50502,4
22494,8
13642,5
23865,8
8962,4
43376,2
3785,9
69808,9
6917,0
60577,3
50843,6
54593,8
7,3
18874,9
36026,5
3167,7
14111,7
49185,0
48966,5
60324,0
64481,4
65753,9
46094,2
4084,8
52583,8
33791,9
19735,1
54495,8
13962,0
67049,0
50314,4
6362,3
